Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,5,"Hinchcliffe, James",D/H/F,01:08.7351,120.462,11
Full Lap,2,18,"Bourdais, Sebastien",D/H/F,01:09.0351,119.939,7
Full Lap,3,9,"Dixon, Scott",D/H/F,01:09.2334,119.595,9
Full Lap,4,88,"Herta, Colton (R)",D/H/F,01:09.2444,119.576,7
Full Lap,5,30,"Sato, Takuma",D/H/F,01:09.2692,119.534,15
Full Lap,6,21,"Pigot, Spencer",D/C/F,01:09.2784,119.518,9
Full Lap,7,22,"Pagenaud, Simon",D/C/F,01:09.2837,119.509,10
Full Lap,8,10,"Rosenqvist, Felix (R)",D/H/F,01:09.2884,119.501,13
Full Lap,9,59,"Chilton, Max",D/C/F,01:09.3113,119.461,4
Full Lap,10,27,"Rossi, Alexander",D/H/F,01:09.3481,119.398,5
Full Lap,11,31,"O'Ward, Patricio (R)",D/C/F,01:09.4272,119.262,5
Full Lap,12,20,"Jones, Ed",D/C/F,01:09.4540,119.216,11
Full Lap,13,28,"Hunter-Reay, Ryan",D/H/F,01:09.4794,119.172,4
Full Lap,14,60,"Harvey, Jack",D/H/F,01:09.5282,119.088,8
Full Lap,15,12,"Power, Will",D/C/F,01:09.5959,118.973,7
Full Lap,16,4,"Leist, Matheus",D/C/F,01:09.6287,118.916,6
Full Lap,17,2,"Newgarden, Josef",D/C/F,01:09.7409,118.725,12
Full Lap,18,14,"Kanaan, Tony",D/C/F,01:09.8630,118.518,11
Full Lap,19,15,"Rahal, Graham",D/H/F,01:09.9723,118.333,2
Full Lap,20,98,"Andretti, Marco",D/H/F,01:10.0384,118.221,5
Full Lap,21,7,"Ericsson, Marcus (R)",D/H/F,01:10.1552,118.024,4
Full Lap,22,19,"Ferrucci, Santino (R)",D/H/F,01:10.1600,118.016,9
Full Lap,23,81,"Hanley, Ben (R)",D/C/F,01:10.9123,116.764,14
Full Lap,24,26,"Veach, Zach",D/H/F,01:11.0864,116.478,0
Sector 1,1,30,"Sato, Takuma",D/H/F,00:01.8771,162.000,11
Sector 1,2,28,"Hunter-Reay, Ryan",D/H/F,00:01.8811,161.656,5
Sector 1,3,88,"Herta, Colton (R)",D/H/F,00:01.8815,161.622,13
Sector 1,4,27,"Rossi, Alexander",D/H/F,00:01.8842,161.390,6
Sector 1,5,18,"Bourdais, Sebastien",D/H/F,00:01.8862,161.219,7
Sector 1,6,21,"Pigot, Spencer",D/C/F,00:01.8870,161.150,9
Sector 1,7,9,"Dixon, Scott",D/H/F,00:01.8870,161.150,2
Sector 1,8,60,"Harvey, Jack",D/H/F,00:01.8936,160.589,9
Sector 1,9,98,"Andretti, Marco",D/H/F,00:01.8957,160.411,5
Sector 1,10,22,"Pagenaud, Simon",D/C/F,00:01.8966,160.335,11
Sector 1,11,20,"Jones, Ed",D/C/F,00:01.8970,160.301,5
Sector 1,12,31,"O'Ward, Patricio (R)",D/C/F,00:01.8981,160.208,7
Sector 1,13,10,"Rosenqvist, Felix (R)",D/H/F,00:01.8992,160.115,13
Sector 1,14,14,"Kanaan, Tony",D/C/F,00:01.9016,159.913,11
Sector 1,15,5,"Hinchcliffe, James",D/H/F,00:01.9036,159.745,11
Sector 1,16,12,"Power, Will",D/C/F,00:01.9053,159.603,11
Sector 1,17,15,"Rahal, Graham",D/H/F,00:01.9070,159.460,7
Sector 1,18,7,"Ericsson, Marcus (R)",D/H/F,00:01.9086,159.327,5
Sector 1,19,19,"Ferrucci, Santino (R)",D/H/F,00:01.9111,159.118,5
Sector 1,20,59,"Chilton, Max",D/C/F,00:01.9125,159.002,5
Sector 1,21,4,"Leist, Matheus",D/C/F,00:01.9128,158.977,7
Sector 1,22,2,"Newgarden, Josef",D/C/F,00:01.9188,158.480,12
Sector 1,23,81,"Hanley, Ben (R)",D/C/F,00:01.9208,158.315,3
Sector 1,24,26,"Veach, Zach",D/H/F,00:01.9452,156.329,0
Sector 2,1,18,"Bourdais, Sebastien",D/H/F,00:09.9450,104.347,7
Sector 2,2,12,"Power, Will",D/C/F,00:10.0159,103.608,7
Sector 2,3,5,"Hinchcliffe, James",D/H/F,00:10.0277,103.486,11
Sector 2,4,22,"Pagenaud, Simon",D/C/F,00:10.0322,103.440,10
Sector 2,5,60,"Harvey, Jack",D/H/F,00:10.0476,103.281,8
Sector 2,6,30,"Sato, Takuma",D/H/F,00:10.0557,103.198,10
Sector 2,7,88,"Herta, Colton (R)",D/H/F,00:10.0649,103.104,7
Sector 2,8,21,"Pigot, Spencer",D/C/F,00:10.0687,103.065,8
Sector 2,9,9,"Dixon, Scott",D/H/F,00:10.0843,102.905,9
Sector 2,10,2,"Newgarden, Josef",D/C/F,00:10.0880,102.867,10
Sector 2,11,31,"O'Ward, Patricio (R)",D/C/F,00:10.1024,102.721,5
Sector 2,12,7,"Ericsson, Marcus (R)",D/H/F,00:10.1107,102.637,4
Sector 2,13,59,"Chilton, Max",D/C/F,00:10.1230,102.512,4
Sector 2,14,14,"Kanaan, Tony",D/C/F,00:10.1344,102.397,11
Sector 2,15,28,"Hunter-Reay, Ryan",D/H/F,00:10.1526,102.213,4
Sector 2,16,4,"Leist, Matheus",D/C/F,00:10.1541,102.198,7
Sector 2,17,20,"Jones, Ed",D/C/F,00:10.1563,102.176,11
Sector 2,18,27,"Rossi, Alexander",D/H/F,00:10.1728,102.010,5
Sector 2,19,98,"Andretti, Marco",D/H/F,00:10.1773,101.965,3
Sector 2,20,10,"Rosenqvist, Felix (R)",D/H/F,00:10.1798,101.940,13
Sector 2,21,15,"Rahal, Graham",D/H/F,00:10.1808,101.930,12
Sector 2,22,19,"Ferrucci, Santino (R)",D/H/F,00:10.2002,101.736,9
Sector 2,23,26,"Veach, Zach",D/H/F,00:10.3553,100.212,1
Sector 2,24,81,"Hanley, Ben (R)",D/C/F,00:10.3757,100.015,14
Sector 3,1,59,"Chilton, Max",D/C/F,00:12.3800,109.873,3
Sector 3,2,5,"Hinchcliffe, James",D/H/F,00:12.3856,109.823,11
Sector 3,3,27,"Rossi, Alexander",D/H/F,00:12.4386,109.355,5
