Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,28,"Hunter-Reay, Ryan",D/H/F,01:00.8969,106.409,8
Full Lap,2,21,"Pigot, Spencer",D/C/F,01:00.9812,106.262,12
Full Lap,3,98,"Andretti, Marco",D/H/F,01:01.0351,106.168,6
Full Lap,4,88,"Herta, Colton (R)",D/H/F,01:01.0776,106.095,12
Full Lap,5,59,"Chilton, Max",D/C/F,01:01.1171,106.026,9
Full Lap,6,27,"Rossi, Alexander",D/H/F,01:01.1388,105.988,12
Full Lap,7,5,"Hinchcliffe, James",D/H/F,01:01.1453,105.977,7
Full Lap,8,23,"Kimball, Charlie",D/C/F,01:01.1681,105.938,11
Full Lap,9,2,"Newgarden, Josef",D/C/F,01:01.1811,105.915,11
Full Lap,10,12,"Power, Will",D/C/F,01:01.1896,105.900,13
Full Lap,11,15,"Rahal, Graham",D/H/F,01:01.2129,105.860,10
Full Lap,12,30,"Sato, Takuma",D/H/F,01:01.2700,105.761,2
Full Lap,13,9,"Dixon, Scott",D/H/F,01:01.4284,105.489,5
Full Lap,14,10,"Rosenqvist, Felix (R)",D/H/F,01:01.5020,105.362,2
Full Lap,15,20,"Jones, Ed",D/C/F,01:01.5158,105.339,11
Full Lap,16,4,"Leist, Matheus",D/C/F,01:01.5456,105.288,11
Full Lap,17,22,"Pagenaud, Simon",D/C/F,01:01.5514,105.278,8
Full Lap,18,18,"Bourdais, Sebastien",D/H/F,01:01.5635,105.257,9
Full Lap,19,7,"Ericsson, Marcus (R)",D/H/F,01:01.6238,105.154,6
Full Lap,20,60,"Harvey, Jack",D/H/F,01:01.6610,105.091,11
Full Lap,21,19,"Ferrucci, Santino (R)",D/H/F,01:01.6736,105.069,10
Full Lap,22,14,"Kanaan, Tony",D/C/F,01:01.8667,104.741,11
Full Lap,23,26,"Veach, Zach",D/H/F,01:02.0331,104.460,1
Full Lap,24,81,"Hanley, Ben (R)",D/C/F,01:04.0776,101.127,5
Sector 1,1,28,"Hunter-Reay, Ryan",D/H/F,00:02.8305,165.486,9
Sector 1,2,12,"Power, Will",D/C/F,00:02.8356,165.189,4
Sector 1,3,98,"Andretti, Marco",D/H/F,00:02.8362,165.154,4
Sector 1,4,27,"Rossi, Alexander",D/H/F,00:02.8395,164.962,2
Sector 1,5,5,"Hinchcliffe, James",D/H/F,00:02.8453,164.626,8
Sector 1,6,30,"Sato, Takuma",D/H/F,00:02.8479,164.475,1
Sector 1,7,10,"Rosenqvist, Felix (R)",D/H/F,00:02.8508,164.308,10
Sector 1,8,9,"Dixon, Scott",D/H/F,00:02.8510,164.296,3
Sector 1,9,88,"Herta, Colton (R)",D/H/F,00:02.8521,164.233,9
Sector 1,10,20,"Jones, Ed",D/C/F,00:02.8547,164.083,13
Sector 1,11,21,"Pigot, Spencer",D/C/F,00:02.8548,164.078,3
Sector 1,12,26,"Veach, Zach",D/H/F,00:02.8549,164.072,2
Sector 1,13,14,"Kanaan, Tony",D/C/F,00:02.8556,164.032,3
Sector 1,14,18,"Bourdais, Sebastien",D/H/F,00:02.8567,163.969,6
Sector 1,15,2,"Newgarden, Josef",D/C/F,00:02.8570,163.951,5
Sector 1,16,22,"Pagenaud, Simon",D/C/F,00:02.8585,163.865,3
Sector 1,17,59,"Chilton, Max",D/C/F,00:02.8606,163.745,11
Sector 1,18,23,"Kimball, Charlie",D/C/F,00:02.8620,163.665,2
Sector 1,19,60,"Harvey, Jack",D/H/F,00:02.8626,163.631,2
Sector 1,20,4,"Leist, Matheus",D/C/F,00:02.8637,163.568,7
Sector 1,21,7,"Ericsson, Marcus (R)",D/H/F,00:02.8687,163.283,11
Sector 1,22,15,"Rahal, Graham",D/H/F,00:02.8727,163.055,12
Sector 1,23,19,"Ferrucci, Santino (R)",D/H/F,00:02.8732,163.027,1
Sector 1,24,81,"Hanley, Ben (R)",D/C/F,00:02.8876,162.214,6
Sector 2,1,23,"Kimball, Charlie",D/C/F,00:06.1139,86.762,12
Sector 2,2,28,"Hunter-Reay, Ryan",D/H/F,00:06.1319,86.507,13
Sector 2,3,14,"Kanaan, Tony",D/C/F,00:06.1337,86.482,11
Sector 2,4,9,"Dixon, Scott",D/H/F,00:06.1453,86.319,16
Sector 2,5,22,"Pagenaud, Simon",D/C/F,00:06.1525,86.218,10
Sector 2,6,59,"Chilton, Max",D/C/F,00:06.1542,86.194,10
Sector 2,7,12,"Power, Will",D/C/F,00:06.1766,85.881,13
Sector 2,8,5,"Hinchcliffe, James",D/H/F,00:06.1777,85.866,8
Sector 2,9,20,"Jones, Ed",D/C/F,00:06.1794,85.842,15
Sector 2,10,27,"Rossi, Alexander",D/H/F,00:06.1852,85.762,10
Sector 2,11,88,"Herta, Colton (R)",D/H/F,00:06.1896,85.701,14
Sector 2,12,26,"Veach, Zach",D/H/F,00:06.1912,85.679,8
Sector 2,13,21,"Pigot, Spencer",D/C/F,00:06.1916,85.673,12
Sector 2,14,2,"Newgarden, Josef",D/C/F,00:06.1985,85.578,11
Sector 2,15,18,"Bourdais, Sebastien",D/H/F,00:06.2020,85.530,9
Sector 2,16,98,"Andretti, Marco",D/H/F,00:06.2034,85.510,6
Sector 2,17,15,"Rahal, Graham",D/H/F,00:06.2055,85.481,10
Sector 2,18,30,"Sato, Takuma",D/H/F,00:06.2074,85.455,12
Sector 2,19,7,"Ericsson, Marcus (R)",D/H/F,00:06.2187,85.300,10
Sector 2,20,10,"Rosenqvist, Felix (R)",D/H/F,00:06.2226,85.246,12
Sector 2,21,4,"Leist, Matheus",D/C/F,00:06.2273,85.182,11
Sector 2,22,19,"Ferrucci, Santino (R)",D/H/F,00:06.2331,85.103,11
Sector 2,23,60,"Harvey, Jack",D/H/F,00:06.2990,84.213,11
Sector 2,24,81,"Hanley, Ben (R)",D/C/F,00:06.5953,80.429,5
Sector 3,1,60,"Harvey, Jack",D/H/F,00:06.4224,136.843,10
Sector 3,2,21,"Pigot, Spencer",D/C/F,00:06.4262,136.763,12
Sector 3,3,5,"Hinchcliffe, James",D/H/F,00:06.4452,136.359,1
Sector 3,4,30,"Sato, Takuma",D/H/F,00:06.4485,136.290,2
Sector 3,5,15,"Rahal, Graham",D/H/F,00:06.4575,136.100,4
Sector 3,6,88,"Herta, Colton (R)",D/H/F,00:06.4576,136.098,14
Sector 3,7,27,"Rossi, Alexander",D/H/F,00:06.4636,135.971,10
Sector 3,8,7,"Ericsson, Marcus (R)",D/H/F,00:06.4707,135.822,7
Sector 3,9,98,"Andretti, Marco",D/H/F,00:06.4716,135.803,1
Sector 3,10,4,"Leist, Matheus",D/C/F,00:06.4793,135.642,11
Sector 3,11,18,"Bourdais, Sebastien",D/H/F,00:06.4814,135.598,6
Sector 3,12,12,"Power, Will",D/C/F,00:06.4854,135.514,13
